Title,Date,Rating,Review
A Taste of Home!,2024-08-27,5,"Came here for a casual lunch,. The chatamari was a delightful surprise, perfectly crispy and savory. It has a vibrant and lively atmosphere, great for friends. An absolute gem!."
Highly Recommended!,2025-04-18,3,"Just dropped in for a quick bite,. Couldn't get enough of their Juju Dhau, a sweet and creamy ending!. The team went above and beyond to ensure we had a great dining experience. The place was clean and well-maintained."
Unsatisfactory Visit,2024-09-21,2,"Just dropped in for a quick bite,. The chiya was lukewarm and tasted watered down. The decor felt a bit outdated and dull."
Authentic Nepali Delight!,2024-12-20,4,"Gathered here with friends for a meal,. Couldn't get enough of their Juju Dhau, a sweet and creamy ending!. The restaurant had a cozy and inviting atmosphere, perfect for a family meal. One of the best Nepali food experiences I've had."
Hidden Gem in Kathmandu!,2025-03-21,3,"Just dropped in for a quick bite,. Their Thukpa was hearty and flavorful, perfect for a chilly evening. The chatamari was a delightful surprise, perfectly crispy and savory. The hospitality here is outstanding. The restaurant had a cozy and inviting atmosphere, perfect for a family meal. One of the best Nepali food experiences I've had."
Fantastic Find!,2025-04-22,5,"The Newari khaja set offered a fantastic variety and truly captured the local essence. The Sekuwa was perfectly grilled and tender, a real highlight of the meal. Very helpful and polite staff. The restaurant had a cozy and inviting atmosphere, perfect for a family meal."
Delicious & Welcoming!,2024-12-30,3,"Stopped by after work,. The Newari khaja set offered a fantastic variety and truly captured the local essence. Every dish, especially the gundruk ko achaar, tasted incredibly fresh and well-prepared. Service was prompt and efficient, even during a busy hour. One of the best Nepali food experiences I've had."
Unsatisfactory Visit,2025-02-12,1,"Came here for a casual lunch,. Momos were a bit dry and didn't have much filling. The chiya was lukewarm and tasted watered down. Customer service needs significant improvement."
Consistently Great!,2024-10-18,4,"Came here for a casual lunch,."
Mediocre at Best,2024-09-02,2,The restaurant felt a bit cramped and crowded.
Overpriced for Quality,2024-07-26,1,"The Sekuwa was tough and overcooked, difficult to chew."
"Slow Service, Bland Food",2024-08-09,2,"Stopped by after work,. Some dishes, like the gundruk, tasted a bit off, not as fresh as they should be. The lighting was too dim/bright."
"Slow Service, Bland Food",2025-03-02,2,"Celebrated a birthday here,. I found the food lacked the true authenticity I was looking for in Nepali cuisine. The Sukuti was too salty and over-spiced for my liking. Our server was a bit rude and unhelpful. The restaurant felt a bit cramped and crowded. Quite a disappointing experience overall."
Friends Loved It!,2025-05-22,4,Their momos are a must-try – incredibly juicy and packed with flavor!. Highly recommend this authentic Nepali restaurant.
Unsatisfactory Visit,2025-04-15,1,Won't be returning.
Fantastic Find!,2024-11-03,5,"Celebrated a birthday here,. I was impressed by the authenticity of the food; the flavors transported me straight to Nepal. The staff was incredibly friendly and attentive, making us feel very welcomed. It has a vibrant and lively atmosphere, great for friends. Definitely coming back!."
Expected Better Authenticity,2024-07-13,2,"Stopped by after work,. The Sekuwa was tough and overcooked, difficult to chew. Momos were a bit dry and didn't have much filling. Felt rushed by the staff to finish our meal. Expected more authenticity."
Highly Recommended!,2024-09-22,3,"Stopped by after work,. Their sel roti was perfectly crisp on the outside and soft inside, paired wonderfully with the tarkari. I was impressed by the authenticity of the food; the flavors transported me straight to Nepal. Service was prompt and efficient, even during a busy hour. Definitely coming back!."
Unsatisfactory Visit,2024-08-15,1,"Gathered here with friends for a meal,. Momos were a bit dry and didn't have much filling. The chiya was lukewarm and tasted watered down."
A Taste of Home!,2025-03-28,3,Their momos are a must-try – incredibly juicy and packed with flavor!. The team went above and beyond to ensure we had a great dining experience.
Authentic Nepali Delight!,2024-08-12,5,"Came here for a casual lunch,. The dal bhat tarkari was absolutely authentic and comforting, just like home-cooked. The Newari khaja set offered a fantastic variety and truly captured the local essence. The music added to the pleasant dining experience. One of the best Nepali food experiences I've had."
